"date","Twitter","value","weekday","bl","sd","country"
2019-04-12,"Total tweets",14640,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-04-13,"Unique authors",2253,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-04-13,"Total tweets",12784,"Samstag",14460.25,3180.78166416654,"Austria"
2019-04-14,"Unique authors",2783,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-04-14,"Total tweets",13844,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-04-15,"Unique authors",2655,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-04-15,"Total tweets",15150,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-04-16,"Unique authors",2653,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-04-16,"Total tweets",15363,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-04-17,"Unique authors",2666,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-04-17,"Total tweets",14834,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-04-18,"Unique authors",2443,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-04-18,"Total tweets",14749,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-04-19,"Unique authors",2025,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-04-19,"Total tweets",13196,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-04-20,"Unique authors",2037,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-04-20,"Total tweets",11779,"Samstag",14460.25,3180.78166416654,"Austria"
2019-04-21,"Unique authors",2073,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-04-21,"Total tweets",12151,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-04-22,"Unique authors",2731,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-04-22,"Total tweets",12634,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-04-23,"Unique authors",2855,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-04-23,"Total tweets",15868,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-04-24,"Unique authors",2767,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-04-24,"Total tweets",16963,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-04-25,"Unique authors",2752,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-04-25,"Total tweets",16299,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-04-26,"Unique authors",2207,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-04-26,"Total tweets",15445,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-04-27,"Unique authors",2286,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-04-27,"Total tweets",13118,"Samstag",14460.25,3180.78166416654,"Austria"
2019-04-28,"Unique authors",2706,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-04-28,"Total tweets",14951,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-04-29,"Unique authors",2826,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-04-29,"Total tweets",16674,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-04-30,"Unique authors",2324,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-04-30,"Total tweets",16996,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-05-01,"Unique authors",2655,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-05-01,"Total tweets",13551,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-05-02,"Unique authors",2717,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-05-02,"Total tweets",14960,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-05-03,"Unique authors",2286,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-05-03,"Total tweets",16767,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-05-04,"Unique authors",2268,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-05-04,"Total tweets",14580,"Samstag",14460.25,3180.78166416654,"Austria"
2019-05-05,"Unique authors",2753,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-05-05,"Total tweets",15805,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-05-06,"Unique authors",2942,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-05-06,"Total tweets",16871,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-05-07,"Unique authors",2890,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-05-07,"Total tweets",16767,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-05-08,"Unique authors",2819,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-05-08,"Total tweets",16531,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-05-09,"Unique authors",2720,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-05-09,"Total tweets",16299,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-05-10,"Unique authors",2165,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-05-10,"Total tweets",15642,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-05-11,"Unique authors",2262,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-05-11,"Total tweets",12835,"Samstag",14460.25,3180.78166416654,"Austria"
2019-05-12,"Unique authors",2649,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-05-12,"Total tweets",14829,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-05-13,"Unique authors",2777,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-05-13,"Total tweets",16045,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-05-14,"Unique authors",2767,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-05-14,"Total tweets",17162,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-05-15,"Unique authors",2880,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-05-15,"Total tweets",17825,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-05-16,"Unique authors",3134,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-05-16,"Total tweets",17673,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-05-17,"Unique authors",3525,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-05-17,"Total tweets",20778,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-05-18,"Unique authors",2846,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-05-18,"Total tweets",35446,"Samstag",14460.25,3180.78166416654,"Austria"
2019-05-19,"Unique authors",3371,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-05-19,"Total tweets",22801,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-05-20,"Unique authors",3315,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-05-20,"Total tweets",25667,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-05-21,"Unique authors",3230,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-05-21,"Total tweets",23288,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-05-22,"Unique authors",3085,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-05-22,"Total tweets",21659,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-05-23,"Unique authors",2950,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-05-23,"Total tweets",20370,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-05-24,"Unique authors",2373,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-05-24,"Total tweets",18032,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-05-25,"Unique authors",2845,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-05-25,"Total tweets",15306,"Samstag",14460.25,3180.78166416654,"Austria"
2019-05-26,"Unique authors",3384,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-05-26,"Total tweets",21160,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-05-27,"Unique authors",3104,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-05-27,"Total tweets",26286,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-05-28,"Unique authors",3061,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-05-28,"Total tweets",20595,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-05-29,"Unique authors",2511,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-05-29,"Total tweets",18274,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-05-30,"Unique authors",2541,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-05-30,"Total tweets",16306,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-05-31,"Unique authors",2262,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-05-31,"Total tweets",15607,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-06-01,"Unique authors",2305,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-06-01,"Total tweets",14479,"Samstag",14460.25,3180.78166416654,"Austria"
2019-06-02,"Unique authors",2777,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-06-02,"Total tweets",15317,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-06-03,"Unique authors",2863,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-06-03,"Total tweets",17297,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-06-04,"Unique authors",2914,"Dienstag",2762.39622641509,202.066281930406,"Austria"
